,itemId,color,guarantee,memory,name,price,ram,site
275,5c763e68e92e15919235f84e868caf07a4d2aba5, Rouge , Garantie 1 An, 16 Go , Galaxy A2 Core ,329.0, 1 Go ,jumia
276,65a069a9513e95fbca914cc4dd6523e38cc3bff6, Bleu , Garantie 1 An, 32 Go , Y5 Prime 2019 ,389.0,  2 Go ,jumia
277,c7da03393beb03a4d3d4bb00c9e0266f2451edb0,, Garantie 1 an,, Tablette   7\  ,183.0,,jumia
278,e6f6bf87e3a4771ea120d3f8791697c1822f8ec6, Rouge , Garantie 1 An., 8 Go , Tablette S7G ,185.0, 1 Go ,jumia
279,23020095f8a5f1a8660f6b77776ce9b618edb060, Blanc , Garantie 1 an, 8 Go , Tablette TAB 105 ,209.0, 1 Go ,jumia
280,bae165ba170b62a9525344dee3c3484a858657ca, Gold , Garantie 1 An, 16 Go , Tablette LEAPAD X5 7\  3G ,205.0, 1 Go ,jumia
281,da087951eb0f36cf691dfb244e362d16ca764f5a, Noir , Garantie 1 an, 8Go , Tab Link 71,189.0, 1Go ,jumia
282,4e8f315df1109aec383f9f8fd92c541df6fe622b, Noir , Garantie 1 an, 8 Go , Tablette ,250.0, 1 Go ,jumia
283,ffdd4654e49e3708816070b674ba81f1afc0dc18, Blanc , Garantie 1 an, 8 Go , Tablette ,176.0, 1 Go ,jumia
284,6ec7f30948bcbf9c7698efce7f391a1e2550a025, Blanc , Garantie 1 An, 8 Go , Tablette ,188.0,  1 Go ,jumia
285,be86929ab184beb04eee7b8c4f75ec622083a884, Rose Gold , Garantie 1 An, 64 Go , iPad Pro Wi Fi + Cellular ,3167.0, 4 Go ,jumia
286,05aa7c3edc9aae1d91c83acc218a74b87c31cad4, Gold , Garantie 1 An, 64Go , iPad Pro  Wi Fi + Cellular ,3167.0, 4 Go ,jumia
287,69ee44cd952c8f17d2aebb6e958184c775b09ef4, Gold , Garantie 1 An, 32 Go , iPad Wi Fi + Cellular ,1780.0, 2 Go ,jumia
288,81fb61a5d18a1e78c49d2b589b9097cec889b3c1, Gris Sidéral , Garantie 1 An, 32 Go , iPad Wi Fi + Cellular ,1780.0, 2 Go ,jumia
289,74f22ed23d9a3a64b0c30ce808156191b2ea6064, Noir , Garantie 1 An, 16 Go , Tablette LEAPAD X ,184.0, 1 Go ,jumia
290,8b92ad6e6d03e02d91c689d51be67d02d7f2b51d, Noir , Garantie 1 An, 8 Go , Tablette Galaxy Tab A SM ,499.0, 1.5 Go ,jumia
291,126acaf3bd09402815c272b3678e2d8147168a48, Blanc , Garantie 1 An, 64 Go , F11 ,885.0, 6 Go ,jumia
292,2e11037d8015f26e966c4258dad9daa59b58063c, Vert , Garantie 1 An, 64 Go , F11 ,849.0, 6 Go ,jumia
293,bc6bc90430d0f4b3766548aac02871e8898065b8, Noir , Garantie 1 An, 128 Go , Galaxy A50 ,824.0, 4 Go ,jumia
